trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
10414,1030.719604,6.280226,160.362335,-0.373199,-0.002135,-0.001725,0.001246,0.000000,-0.000000,0.298560,16.205077,7.900079
10415,960.969604,6.280226,160.362335,-0.373199,-0.001551,-0.001253,0.000905,0.000000,-0.000000,0.298560,16.427265,8.015440
10416,1009.073364,6.279957,160.364868,-0.366974,-0.038265,0.349091,0.861078,0.000000,-0.000000,0.298560,16.649201,8.130518
10417,1004.449890,6.279411,160.370010,-0.371307,-0.139836,1.309494,0.892356,0.000000,-0.000000,0.293579,16.870882,8.245312
10418,995.611389,6.279411,160.370010,-0.371307,-0.176494,1.657267,0.054661,0.000000,-0.000000,0.297046,17.092305,8.359817
10419,995.328857,6.279411,160.370010,-0.371307,-0.128230,1.204075,0.039713,0.000000,-0.000000,0.297046,17.313465,8.474030
10420,984.710571,6.279142,160.372543,-0.365051,-0.129410,1.216408,0.868481,0.000000,-0.000000,0.297046,17.534360,8.587948
10421,1019.337097,6.279142,160.372543,-0.365051,-0.130266,1.225350,1.470624,0.000000,-0.000000,0.292041,17.754986,8.701568
10422,983.054626,6.279142,160.372543,-0.365051,-0.094644,0.890269,1.068471,0.000000,-0.000000,0.292041,17.975341,8.814886
10423,1016.088928,6.279142,160.372543,-0.365051,-0.068763,0.646818,0.776290,0.000000,-0.000000,0.292041,18.195420,8.927899
10424,977.302612,6.278873,160.375076,-0.358826,-0.085935,0.808999,1.397306,0.000000,-0.000000,0.292041,18.415220,9.040604
10425,1028.000854,6.278873,160.375076,-0.358826,-0.098410,0.926807,1.848510,0.000000,-0.000000,0.287061,18.634739,9.152997
10426,1013.446716,6.278873,160.375076,-0.358826,-0.071499,0.673364,1.343021,0.000000,-0.000000,0.287061,18.853972,9.265076
10427,1000.153687,6.278873,160.375076,-0.358826,-0.051947,0.489228,0.975762,0.000000,-0.000000,0.287061,19.072917,9.376837
10428,986.372070,6.280498,160.375244,-0.358826,0.181377,0.378701,0.708933,0.000000,-0.000000,0.287061,19.291569,9.488277
10429,993.637085,6.280498,160.375244,-0.358826,0.350906,0.298399,0.515070,0.000000,-0.000000,0.287061,19.509927,9.599392
10430,985.540588,6.280498,160.375244,-0.358826,0.254948,0.216800,0.374220,0.000000,-0.000000,0.287061,19.727987,9.710179
10431,1019.633423,6.280498,160.375244,-0.358826,0.185231,0.157514,0.271887,0.000000,-0.000000,0.287061,19.945744,9.820636
