trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
11603,999.583618,2.054806,-1.851439,-0.120605,4.613878,0.045168,0.015558,0.000000,-0.000000,0.096484,12.699492,32.846811
11604,999.868591,2.060886,-1.851382,-0.120605,5.014107,0.048379,0.011303,0.000000,-0.000000,0.096484,12.737566,33.027454
11605,958.082214,2.060886,-1.851382,-0.120605,4.474045,0.042885,0.008212,0.000000,-0.000000,0.096484,12.774994,33.207391
11606,1060.640747,2.066965,-1.851326,-0.120605,4.132179,0.039478,0.005967,0.000000,-0.000000,0.096484,12.811775,33.386618
11607,1009.945007,2.073044,-1.851269,-0.120605,4.723257,0.044879,0.004335,0.000000,-0.000000,0.096484,12.847910,33.565131
11608,995.046509,2.073044,-1.851269,-0.120605,4.271105,0.040467,0.003150,0.000000,-0.000000,0.096484,12.883400,33.742926
11609,1001.295776,2.079123,-1.851212,-0.120605,3.935407,0.037302,0.002288,0.000000,-0.000000,0.096484,12.918245,33.920000
11610,994.482300,2.085202,-1.851154,-0.120605,4.518113,0.042803,0.001663,0.000000,-0.000000,0.096484,12.952445,34.096349
11611,996.176941,2.085202,-1.851154,-0.120605,4.109206,0.038884,0.001208,0.000000,-0.000000,0.096484,12.986002,34.271969
11612,1013.739624,2.091281,-1.851097,-0.120605,3.828124,0.036292,0.000878,0.000000,-0.000000,0.096484,13.018915,34.446856
11613,1000.438965,2.091281,-1.851097,-0.120605,3.623906,0.034326,0.000638,0.000000,-0.000000,0.096484,13.051184,34.621007
11614,1000.153687,2.097360,-1.851040,-0.120605,3.464240,0.032887,0.000463,0.000000,-0.000000,0.096484,13.082812,34.794418
